Category,Price,Rating,Stock,Discount
C,5548.0,1.870322015500628,In Stock,0.0
C,3045.0,4.757798057831803,In Stock,38.0
C,4004.0,3.0382925191086185,In Stock,0.0
C,4808.0,1.492084885301209,In Stock,33.0
C,1817.0,3.0382925191086185,Out of Stock,23.0
C,3522.0,3.0382925191086185,In Stock,24.516624685138538
C,667.0,3.668340748490816,In Stock,41.0
A,7125.0,4.983998118378299,Out of Stock,7.0
A,2777.0,2.678384421487482,In Stock,6.0
C,463.0,4.626187280896929,In Stock,3.0
A,1151.0,2.947838084766442,In Stock,24.516624685138538
A,3772.0,4.890749963096654,In Stock,45.0
C,7719.0,2.9822417824846874,In Stock,4.0
C,8416.0,1.2709427320459683,In Stock,29.0
B,8530.0,3.0382925191086185,In Stock,10.0
A,7936.0,3.032832041059039,In Stock,44.0
B,9319.0,3.479063511857313,In Stock,28.0
C,5016.970630372492,4.097463656949772,In Stock,40.0
D,2066.0,3.0382925191086185,In Stock,30.0
B,1784.0,3.0382925191086185,In Stock,12.0
C,5589.0,3.0382925191086185,In Stock,39.0
C,5016.970630372492,3.0382925191086185,Out of Stock,25.0
C,4176.0,2.264050691550675,In Stock,42.0
D,407.0,2.7742698776847985,In Stock,44.0
C,7011.0,3.0382925191086185,In Stock,38.0
C,8418.0,3.0382925191086185,In Stock,24.516624685138538
C,3405.0,3.0382925191086185,In Stock,48.0
D,1732.0,3.0382925191086185,In Stock,24.516624685138538
B,5850.0,2.264393100564309,Out of Stock,43.0
C,5016.970630372492,2.357527106379227,In Stock,22.0
C,704.0,3.0382925191086185,In Stock,47.0
C,2343.0,1.8632245113185228,Out of Stock,17.0
C,5016.970630372492,3.0382925191086185,In Stock,24.516624685138538
C,1910.0,3.8494948825094535,Out of Stock,14.0
C,9307.0,3.0382925191086185,Out of Stock,21.0
C,2331.0,3.95225743506134,In Stock,43.0
D,6164.0,4.305789482267322,Out of Stock,1.0
B,8060.0,1.9058024886644624,Out of Stock,43.0
C,5607.0,4.789502194485456,In Stock,15.0
C,4730.0,3.0382925191086185,In Stock,30.0
C,9230.0,3.0382925191086185,In Stock,8.0
C,1112.0,3.0382925191086185,In Stock,38.0
C,4390.0,3.0382925191086185,In Stock,34.0
C,8484.0,3.0382925191086185,Out of Stock,36.0
D,6415.0,4.984170226351978,Out of Stock,12.0
C,4589.0,3.0382925191086185,Out of Stock,47.0
A,2260.0,3.0382925191086185,In Stock,37.0
C,1759.0,4.45534399355245,In Stock,37.0
C,7190.0,1.9243054921681804,In Stock,24.516624685138538
C,8675.0,2.778260648243727,Out of Stock,24.516624685138538
C,5412.0,3.0382925191086185,Out of Stock,24.0
A,6304.0,3.0382925191086185,In Stock,31.0
C,9870.0,2.8036864935783328,Out of Stock,37.0
C,1134.0,2.886833030618752,In Stock,15.0
B,9795.0,3.0382925191086185,In Stock,17.0
B,3445.0,3.0382925191086185,In Stock,3.0
C,8421.0,1.338253810015713,In Stock,2.0
C,3236.0,4.951183214408314,Out of Stock,2.0
C,1624.0,3.0382925191086185,Out of Stock,34.0
C,806.0,4.170806833653488,In Stock,8.0
C,9888.0,3.0382925191086185,In Stock,29.0
C,8773.0,1.865998304807294,Out of Stock,17.0
D,3977.0,3.0382925191086185,Out of Stock,32.0
D,2251.0,3.0382925191086185,In Stock,25.0
C,7842.0,3.0382925191086185,In Stock,30.0
A,5006.0,3.835636273769511,Out of Stock,24.516624685138538
C,3182.0,3.0382925191086185,In Stock,13.0
C,1136.0,3.0382925191086185,In Stock,19.0
C,1066.0,3.0382925191086185,Out of Stock,10.0
B,1029.0,4.464129272916702,In Stock,38.0
C,1788.0,3.0382925191086185,Out of Stock,7.0
C,6249.0,3.0382925191086185,In Stock,16.0
